team,conference,division,points,wins,losses,ot_losses,goal_diff
Colorado Avalanche,Western,Central,97,44,12,9,84
Dallas Stars,Western,Central,92,41,14,10,53
Carolina Hurricanes,Eastern,Metropolitan,88,41,18,6,40
Minnesota Wild,Western,Central,88,38,16,12,34
Buffalo Sabres,Eastern,Atlantic,86,40,20,6,34
Tampa Bay Lightning,Eastern,Atlantic,84,40,20,4,51
Montréal Canadiens,Eastern,Atlantic,82,36,18,10,16
Boston Bruins,Eastern,Atlantic,80,37,23,6,12
Pittsburgh Penguins,Eastern,Metropolitan,79,32,18,15,20
Detroit Red Wings,Eastern,Atlantic,79,36,23,7,-5
New York Islanders,Eastern,Metropolitan,79,37,24,5,5
Columbus Blue Jackets,Eastern,Metropolitan,77,33,21,11,3
Ottawa Senators,Eastern,Atlantic,75,33,23,9,17
Anaheim Ducks,Western,Pacific,75,36,27,3,-11
Utah Mammoth,Western,Central,74,34,26,6,21
Vegas Golden Knights,Western,Pacific,74,30,22,14,7
Washington Capitals,Eastern,Metropolitan,74,33,27,8,9
Philadelphia Flyers,Eastern,Metropolitan,73,31,23,11,-13
Edmonton Oilers,Western,Pacific,73,32,26,9,4
Florida Panthers,Eastern,Atlantic,69,33,29,3,-17
Los Angeles Kings,Western,Pacific,69,27,23,15,-22
San Jose Sharks,Western,Pacific,68,31,26,6,-24
Seattle Kraken,Western,Pacific,67,29,26,9,-15
Nashville Predators,Western,Central,67,29,27,9,-28
Toronto Maple Leafs,Eastern,Atlantic,67,28,27,11,-24
New Jersey Devils,Eastern,Metropolitan,66,32,31,2,-27
Winnipeg Jets,Western,Central,64,27,28,10,-15
St. Louis Blues,Western,Central,64,27,29,10,-44
New York Rangers,Eastern,Metropolitan,62,27,30,8,-18
Chicago Blackhawks,Western,Central,61,25,29,11,-34
Calgary Flames,Western,Pacific,59,26,32,7,-41
Vancouver Canucks,Western,Pacific,48,20,37,8,-72
