team,conference,division,points,wins,losses,ot_losses,goal_diff
COL,Western,Central,108,49,14,10,92
DAL,Western,Central,100,44,19,12,46
MIN,Western,Central,94,41,21,12,26
ANA,Western,Pacific,87,41,28,5,-7
EDM,Western,Pacific,85,38,28,9,10
VGK,Western,Pacific,82,33,26,16,0
UTA,Western,Central,82,38,30,6,23
NSH,Western,Central,77,34,31,9,-26
CAR,Eastern,Metropolitan,100,47,21,6,45
PIT,Eastern,Metropolitan,92,38,21,16,25
NYI,Eastern,Metropolitan,89,42,29,5,1
BUF,Eastern,Atlantic,100,46,21,8,42
TBL,Eastern,Atlantic,98,46,22,6,61
MTL,Eastern,Atlantic,96,43,21,10,28
BOS,Eastern,Atlantic,94,43,24,8,23
CBJ,Eastern,Metropolitan,88,38,25,12,8
